Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Waveform 1	1	162.931031624	171.551721128	35690.608	62983.425	8.6207	27292.818		
1	Spectrogram 1	1	162.931031624	171.551721128	35690.608	62983.425	8.6207	27292.818	-95.19	
2	Waveform 1	1	36.781608550	50.574711756	23093.923	56160.221	13.7931	33066.298		
2	Spectrogram 1	1	36.781608550	50.574711756	23093.923	56160.221	13.7931	33066.298	-90.35	
3	Waveform 1	1	259.482754068	274.137926225	45662.983	70856.354	14.6552	25193.370		
3	Spectrogram 1	1	259.482754068	274.137926225	45662.983	70856.354	14.6552	25193.370	-94.96	
4	Waveform 1	1	203.160915976	215.517237598	48287.293	82403.315	12.3563	34116.022		
4	Spectrogram 1	1	203.160915976	215.517237598	48287.293	82403.315	12.3563	34116.022	-91.36	
5	Waveform 1	1	76.436780268	92.241377692	45662.983	71906.077	15.8046	26243.094		
5	Spectrogram 1	1	76.436780268	92.241377692	45662.983	71906.077	15.8046	26243.094	-91.18	
