,filename,time_difference
0,flevopark_11_audio1_2021-12-09_16-00-00_(1).flac,-654865.0
1,flevopark_1_audio1_1970-01-01_00-01-04_(32).flac,1631302134.0
2,flevopark_1_audio1_2021-12-09_20-46-20_(3).flac,-245317.0
3,flevopark_1_audio1_2021-12-26_16-00-00_(0).flac,-1699021.5
4,flevopark_1_audio1_2021-12-26_18-23-10_(1).flac,-1707611.5
5,flevopark_1_audio1_2021-12-26_20-46-20_(2).flac,-1714117.0
6,flevopark_1_audio1_2021-12-27_05-00-00_(3).flac,-1745821.5
7,artis_27_audio1_2021-12-14_18-23-11_(26).flac,19843647.5
8,artis_27_audio1_2021-12-14_20-46-21_(27).flac,19837142.5
9,artis_27_audio1_2021-12-15_05-00-00_(28).flac,19807213.85
10,artis_27_audio1_2021-12-15_16-00-00_(29).flac,19769453.6
11,artis_27_audio1_2021-12-16_05-00-00_(30).flac,19722900.1
12,artis_27_audio1_2021-12-16_16-00-00_(31).flac,19683729.3
13,flevopark_1_audio1_2021-12-16_16-00-00_(0).flac,-835021.5
14,flevopark_1_audio1_2021-12-16_18-23-10_(1).flac,-843611.5
15,flevopark_1_audio1_2021-12-16_20-46-20_(2).flac,-850117.0
16,flevopark_10_audio1_2021-12-17_16-00-00_(0).flac,-2231972.45
17,flevopark_10_audio1_2021-12-18_05-00-00_(1).flac,-2278569.55
18,flevopark_10_audio1_2021-12-20_16-00-00_(2).flac,-2490655.8
19,flevopark_10_audio1_2021-12-21_16-00-00_(3).flac,-2576970.1
20,flevopark_10_audio1_2021-12-22_16-00-00_(4).flac,-2663355.0
21,flevopark_10_audio1_2021-12-23_05-00-00_(5).flac,-2710153.1
22,flevopark_10_audio1_2021-12-23_16-00-00_(6).flac,-2749753.3
23,flevopark_10_audio1_2021-12-24_16-00-00_(7).flac,-2836176.5
24,flevopark_10_audio1_2021-12-25_05-00-00_(8).flac,-2882958.85
25,flevopark_11_audio1_2021-12-09_20-46-20_(33).flac,-674255.0
26,flevopark_11_audio1_2021-12-10_05-00-00_(34).flac,-705959.5
27,flevopark_11_audio1_2021-12-10_07-23-10_(35).flac,-713160.0
28,flevopark_11_audio1_2021-12-10_16-00-00_(36).flac,-745559.5
29,flevopark_11_audio1_2021-12-10_18-23-10_(37).flac,-754149.5
30,flevopark_1_audio1_2021-12-23_05-00-00_(30).flac,-1396360.6
31,flevopark_1_audio1_2021-12-23_16-00-00_(31).flac,-1435903.7
32,flevopark_1_audio1_2021-12-24_05-00-00_(32).flac,-1482705.6
33,flevopark_1_audio1_2021-12-24_16-00-00_(33).flac,-1522227.8
