,filename,start_time,end_time,site_id,time_difference
0,flevopark_1_audio1_2021-12-09_20-46-20_(3),2021-12-09 20:46:20+00:00,2021-12-09 22:00:00+00:00,flevopark_1_,-6277297.0
1,flevopark_1_audio1_2021-12-16_16-00-00_(0),2021-12-16 16:00:00+00:00,2021-12-16 18:23:09+00:00,flevopark_1_,-6867001.5
2,flevopark_1_audio1_2021-12-16_18-23-10_(1),2021-12-16 18:23:10+00:00,2021-12-16 20:46:19+00:00,flevopark_1_,-6875591.5
3,flevopark_1_audio1_2021-12-16_20-46-20_(2),2021-12-16 20:46:20+00:00,2021-12-16 22:00:00+00:00,flevopark_1_,-6882097.0
4,flevopark_1_audio1_2021-09-09_16-50-21_(35),2021-09-09 16:50:21+00:00,2021-09-09 19:13:30+00:00,flevopark_1_,91682.5
5,flevopark_1_audio1_2021-09-09_12-04-01_(33),2021-09-09 12:04:01+00:00,2021-09-09 14:27:10+00:00,flevopark_1_,108862.5
6,flevopark_1_audio1_2021-09-09_09-40-51_(32),2021-09-09 09:40:51+00:00,2021-09-09 12:04:00+00:00,flevopark_1_,117452.5
7,flevopark_1_audio1_2021-09-09_14-27-11_(34),2021-09-09 14:27:11+00:00,2021-09-09 16:50:20+00:00,flevopark_1_,100272.5
8,flevopark_1_audio1_2021-09-09_23-59-51_(38),2021-09-09 23:59:51+00:00,2021-09-10 00:00:00+00:00,flevopark_1_,70202.5
9,flevopark_1_audio1_2021-09-09_19-13-31_(36),2021-09-09 19:13:31+00:00,2021-09-09 21:36:40+00:00,flevopark_1_,83092.5
10,flevopark_1_audio1_2021-09-09_21-36-41_(37),2021-09-09 21:36:41+00:00,2021-09-09 23:59:50+00:00,flevopark_1_,74502.5
11,flevopark_1_audio1_2021-09-10_00-00-02_(39),2021-09-10 00:00:02+00:00,2021-09-10 02:23:11+00:00,flevopark_1_,65901.5
12,flevopark_1_audio1_2021-09-10_02-23-12_(40),2021-09-10 02:23:12+00:00,2021-09-10 04:46:21+00:00,flevopark_1_,57311.5
13,flevopark_1_audio1_2021-09-10_04-46-22_(41),2021-09-10 04:46:22+00:00,2021-09-10 07:09:31+00:00,flevopark_1_,48721.5
14,flevopark_1_audio1_2021-09-10_07-09-32_(42),2021-09-10 07:09:32+00:00,2021-09-10 09:32:41+00:00,flevopark_1_,40131.5
15,flevopark_1_audio1_2021-09-10_11-55-52_(44),2021-09-10 11:55:52+00:00,2021-09-10 14:19:01+00:00,flevopark_1_,22951.5
16,flevopark_1_audio1_2021-09-10_09-32-42_(43),2021-09-10 09:32:42+00:00,2021-09-10 11:55:51+00:00,flevopark_1_,31541.5
17,flevopark_1_audio1_2021-09-10_14-19-02_(45),2021-09-10 14:19:02+00:00,2021-09-10 16:42:11+00:00,flevopark_1_,14361.5
18,flevopark_1_audio1_2021-09-10_23-51-42_(49),2021-09-10 23:51:42+00:00,2021-09-11 00:00:00+00:00,flevopark_1_,15236.0
19,flevopark_1_audio1_2021-09-10_16-42-12_(46),2021-09-10 16:42:12+00:00,2021-09-10 19:05:21+00:00,flevopark_1_,5771.5
20,flevopark_1_audio1_2021-09-12_00-00-00_(51),2021-09-12 00:00:00+00:00,2021-09-12 00:15:33+00:00,flevopark_1_,-69738.5
21,flevopark_1_audio1_2021-09-13_00-00-00_(52),2021-09-13 00:00:00+00:00,2021-09-13 00:10:03+00:00,flevopark_1_,-3783.5
22,flevopark_1_audio1_2021-09-10_21-28-32_(48),2021-09-10 21:28:32+00:00,2021-09-10 23:51:41+00:00,flevopark_1_,-11408.5
23,flevopark_1_audio1_2021-09-15_00-00-00_(54),2021-09-15 00:00:00+00:00,2021-09-15 00:07:40+00:00,flevopark_1_,18046.0
24,flevopark_1_audio1_2021-09-14_00-00-00_(53),2021-09-14 00:00:00+00:00,2021-09-14 00:09:23+00:00,flevopark_1_,-10084.5
25,flevopark_1_audio1_2021-09-19_00-00-00_(58),2021-09-19 00:00:00+00:00,2021-09-19 00:03:21+00:00,flevopark_1_,-99236.5
26,flevopark_1_audio1_2021-09-22_00-00-00_(61),2021-09-22 00:00:00+00:00,2021-09-22 00:00:19+00:00,flevopark_1_,-358345.5
27,flevopark_1_audio1_2021-09-23_00-00-00_(62),2021-09-23 00:00:00+00:00,2021-09-23 00:00:00+00:00,flevopark_1_,-444736.0
28,flevopark_1_audio1_2021-09-20_00-00-00_(59),2021-09-20 00:00:00+00:00,2021-09-20 00:02:43+00:00,flevopark_1_,-185617.5
29,flevopark_1_audio1_2021-09-21_00-00-00_(60),2021-09-21 00:00:00+00:00,2021-09-21 00:01:07+00:00,flevopark_1_,-271969.5
30,flevopark_1_audio1_2021-09-16_00-00-00_(55),2021-09-16 00:00:00+00:00,2021-09-16 00:06:10+00:00,flevopark_1_,-68309.0
31,flevopark_1_audio1_2021-09-17_00-00-00_(56),2021-09-17 00:00:00+00:00,2021-09-17 00:05:01+00:00,flevopark_1_,73513.5
32,flevopark_1_audio1_2021-09-18_00-00-00_(57),2021-09-18 00:00:00+00:00,2021-09-18 00:04:24+00:00,flevopark_1_,-12868.0
33,flevopark_1_audio1_2021-09-11_00-00-02_(50),2021-09-11 00:00:02+00:00,2021-09-11 02:16:43+00:00,flevopark_1_,10884.5
34,flevopark_1_audio1_2021-09-28_20-46-20_(65),2021-09-28 20:46:20+00:00,2021-09-28 22:00:00+00:00,flevopark_1_,-56497.0
35,flevopark_1_audio1_2021-09-28_16-00-00_(63),2021-09-28 16:00:00+00:00,2021-09-28 18:23:09+00:00,flevopark_1_,-41401.5
36,flevopark_1_audio1_2021-09-29_05-00-00_(66),2021-09-29 05:00:00+00:00,2021-09-29 07:23:09+00:00,flevopark_1_,-88201.5
37,flevopark_1_audio1_2021-09-28_18-23-10_(64),2021-09-28 18:23:10+00:00,2021-09-28 20:46:19+00:00,flevopark_1_,-49991.5
38,flevopark_1_audio1_2021-09-29_07-23-10_(67),2021-09-29 07:23:10+00:00,2021-09-29 09:00:00+00:00,flevopark_1_,-95402.0
39,flevopark_1_audio1_2021-09-29_16-00-00_(68),2021-09-29 16:00:00+00:00,2021-09-29 18:23:09+00:00,flevopark_1_,-127801.5
40,flevopark_1_audio1_2021-09-29_20-46-20_(70),2021-09-29 20:46:20+00:00,2021-09-29 22:00:00+00:00,flevopark_1_,-142897.0
41,flevopark_1_audio1_2021-09-30_05-00-00_(71),2021-09-30 05:00:00+00:00,2021-09-30 07:23:09+00:00,flevopark_1_,-174601.5
42,flevopark_1_audio1_2021-09-30_07-23-10_(72),2021-09-30 07:23:10+00:00,2021-09-30 09:00:00+00:00,flevopark_1_,-181802.0
43,flevopark_1_audio1_2021-09-29_18-23-10_(69),2021-09-29 18:23:10+00:00,2021-09-29 20:46:19+00:00,flevopark_1_,-136391.5
44,flevopark_1_audio1_2021-09-30_20-46-20_(75),2021-09-30 20:46:20+00:00,2021-09-30 22:00:00+00:00,flevopark_1_,-229297.0
45,flevopark_1_audio1_2021-09-30_16-00-00_(73),2021-09-30 16:00:00+00:00,2021-09-30 18:23:09+00:00,flevopark_1_,-214201.5
46,flevopark_1_audio1_2021-10-01_05-00-00_(76),2021-10-01 05:00:00+00:00,2021-10-01 07:23:09+00:00,flevopark_1_,-261001.5
47,flevopark_1_audio1_2021-09-30_18-23-10_(74),2021-09-30 18:23:10+00:00,2021-09-30 20:46:19+00:00,flevopark_1_,-222791.5
48,flevopark_1_audio1_2021-10-01_07-23-10_(77),2021-10-01 07:23:10+00:00,2021-10-01 09:00:00+00:00,flevopark_1_,-268202.0
49,flevopark_1_audio1_2021-10-01_20-46-20_(80),2021-10-01 20:46:20+00:00,2021-10-01 22:00:00+00:00,flevopark_1_,-315697.0
50,flevopark_1_audio1_2021-10-01_16-00-00_(78),2021-10-01 16:00:00+00:00,2021-10-01 18:23:09+00:00,flevopark_1_,-300601.5
51,flevopark_1_audio1_2021-10-02_16-00-00_(82),2021-10-02 16:00:00+00:00,2021-10-02 16:17:11+00:00,flevopark_1_,-383222.5
52,flevopark_1_audio1_2021-10-03_05-00-00_(83),2021-10-03 05:00:00+00:00,2021-10-03 05:12:04+00:00,flevopark_1_,-429869.0
53,flevopark_1_audio1_2021-10-03_16-00-00_(84),2021-10-03 16:00:00+00:00,2021-10-03 16:09:19+00:00,flevopark_1_,-469386.5
54,flevopark_1_audio1_2021-10-04_05-00-00_(85),2021-10-04 05:00:00+00:00,2021-10-04 05:06:57+00:00,flevopark_1_,-516115.5
55,flevopark_1_audio1_2021-10-04_16-00-00_(86),2021-10-04 16:00:00+00:00,2021-10-04 16:07:30+00:00,flevopark_1_,-555732.0
56,flevopark_1_audio1_2021-10-05_05-00-00_(87),2021-10-05 05:00:00+00:00,2021-10-05 05:05:42+00:00,flevopark_1_,-602478.0
57,flevopark_1_audio1_2021-10-08_05-00-00_(93),2021-10-08 05:00:00+00:00,2021-10-08 05:01:49+00:00,flevopark_1_,-861561.5
58,flevopark_1_audio1_2021-10-07_16-00-00_(92),2021-10-07 16:00:00+00:00,2021-10-07 16:03:00+00:00,flevopark_1_,-814797.0
59,flevopark_1_audio1_2021-10-08_16-00-00_(94),2021-10-08 16:00:00+00:00,2021-10-08 16:01:28+00:00,flevopark_1_,-901151.0
60,flevopark_1_audio1_2021-10-09_16-00-00_(96),2021-10-09 16:00:00+00:00,2021-10-09 16:00:42+00:00,flevopark_1_,-987528.0
61,flevopark_1_audio1_2021-10-09_05-00-00_(95),2021-10-09 05:00:00+00:00,2021-10-09 05:00:56+00:00,flevopark_1_,-947935.0
62,flevopark_1_audio1_2021-10-10_05-00-00_(97),2021-10-10 05:00:00+00:00,2021-10-10 05:00:01+00:00,flevopark_1_,-1034307.5
63,flevopark_1_audio1_2021-10-11_05-00-00_(99),2021-10-11 05:00:00+00:00,2021-10-11 05:00:00+00:00,flevopark_1_,-1120707.0
64,flevopark_1_audio1_2021-10-10_16-00-00_(98),2021-10-10 16:00:00+00:00,2021-10-10 16:00:00+00:00,flevopark_1_,-1073907.0
65,flevopark_1_audio1_2021-10-06_16-00-00_(90),2021-10-06 16:00:00+00:00,2021-10-06 16:03:44+00:00,flevopark_1_,-728419.0
66,flevopark_1_audio1_2021-10-05_16-00-00_(88),2021-10-05 16:00:00+00:00,2021-10-05 16:05:35+00:00,flevopark_1_,-642074.5
67,flevopark_1_audio1_2021-10-06_05-00-00_(89),2021-10-06 05:00:00+00:00,2021-10-06 05:03:50+00:00,flevopark_1_,-688822.0
68,flevopark_1_audio1_2021-10-07_05-00-00_(91),2021-10-07 05:00:00+00:00,2021-10-07 05:03:07+00:00,flevopark_1_,-775200.5
69,flevopark_1_audio1_2021-10-01_18-23-10_(79),2021-10-01 18:23:10+00:00,2021-10-01 20:46:19+00:00,flevopark_1_,-309191.5
70,flevopark_1_audio1_2021-10-02_05-00-00_(81),2021-10-02 05:00:00+00:00,2021-10-02 07:09:58+00:00,flevopark_1_,-347006.0
71,flevopark_1_audio1_2021-11-18_20-46-20_(102),2021-11-18 20:46:20+00:00,2021-11-18 22:00:00+00:00,flevopark_1_,-4462897.0
72,flevopark_1_audio1_2021-11-18_18-23-10_(101),2021-11-18 18:23:10+00:00,2021-11-18 20:46:19+00:00,flevopark_1_,-4456391.5
73,flevopark_1_audio1_2021-11-18_16-00-00_(100),2021-11-18 16:00:00+00:00,2021-11-18 18:23:09+00:00,flevopark_1_,-4447801.5
74,flevopark_1_audio1_2021-11-19_05-00-00_(103),2021-11-19 05:00:00+00:00,2021-11-19 07:23:09+00:00,flevopark_1_,-4494601.5
75,flevopark_1_audio1_2021-11-19_07-23-10_(104),2021-11-19 07:23:10+00:00,2021-11-19 09:00:00+00:00,flevopark_1_,-4501802.0
76,flevopark_1_audio1_2021-11-19_20-46-20_(107),2021-11-19 20:46:20+00:00,2021-11-19 22:00:00+00:00,flevopark_1_,-4549297.0
77,flevopark_1_audio1_2021-11-19_18-23-10_(106),2021-11-19 18:23:10+00:00,2021-11-19 20:46:19+00:00,flevopark_1_,-4542791.5
78,flevopark_1_audio1_2021-11-19_16-00-00_(105),2021-11-19 16:00:00+00:00,2021-11-19 18:23:09+00:00,flevopark_1_,-4534201.5
79,flevopark_1_audio1_2021-11-24_05-00-00_(128),2021-11-24 05:00:00+00:00,2021-11-24 05:25:01+00:00,flevopark_1_,-4923057.5
80,flevopark_1_audio1_2021-12-02_20-46-20_(2),2021-12-02 20:46:20+00:00,2021-12-02 22:00:00+00:00,flevopark_1_,-5672497.0
81,flevopark_1_audio1_2021-12-02_16-00-00_(0),2021-12-02 16:00:00+00:00,2021-12-02 18:23:09+00:00,flevopark_1_,-5657401.5
82,flevopark_1_audio1_2021-12-06_07-23-10_(19),2021-12-06 07:23:10+00:00,2021-12-06 09:00:00+00:00,flevopark_1_,-5970602.0
83,flevopark_1_audio1_2021-12-06_20-46-20_(22),2021-12-06 20:46:20+00:00,2021-12-06 22:00:00+00:00,flevopark_1_,-6018097.0
84,flevopark_1_audio1_2021-12-06_18-23-10_(21),2021-12-06 18:23:10+00:00,2021-12-06 20:46:19+00:00,flevopark_1_,-6011591.5
85,flevopark_1_audio1_2021-12-06_16-00-00_(20),2021-12-06 16:00:00+00:00,2021-12-06 18:23:09+00:00,flevopark_1_,-6003001.5
86,flevopark_1_audio1_2021-12-07_07-23-10_(24),2021-12-07 07:23:10+00:00,2021-12-07 09:00:00+00:00,flevopark_1_,-6057002.0
87,flevopark_1_audio1_2021-12-07_05-00-00_(23),2021-12-07 05:00:00+00:00,2021-12-07 07:23:09+00:00,flevopark_1_,-6049801.5
88,flevopark_1_audio1_2021-12-07_20-46-20_(27),2021-12-07 20:46:20+00:00,2021-12-07 22:00:00+00:00,flevopark_1_,-6104497.0
89,flevopark_1_audio1_2021-12-08_05-00-00_(28),2021-12-08 05:00:00+00:00,2021-12-08 05:50:10+00:00,flevopark_1_,-6133412.0
90,flevopark_1_audio1_2021-12-08_16-00-00_(29),2021-12-08 16:00:00+00:00,2021-12-08 16:18:50+00:00,flevopark_1_,-6172072.0
91,flevopark_1_audio1_2021-12-09_05-00-00_(30),2021-12-09 05:00:00+00:00,2021-12-09 05:10:41+00:00,flevopark_1_,-6218627.5
92,flevopark_1_audio1_2021-12-07_18-23-10_(26),2021-12-07 18:23:10+00:00,2021-12-07 20:46:19+00:00,flevopark_1_,-6097991.5
93,flevopark_1_audio1_2021-12-07_16-00-00_(25),2021-12-07 16:00:00+00:00,2021-12-07 18:23:09+00:00,flevopark_1_,-6089401.5
94,flevopark_1_audio1_2021-12-03_07-23-10_(4),2021-12-03 07:23:10+00:00,2021-12-03 09:00:00+00:00,flevopark_1_,-5711402.0
95,flevopark_1_audio1_2021-12-02_18-23-10_(1),2021-12-02 18:23:10+00:00,2021-12-02 20:46:19+00:00,flevopark_1_,-5665991.5
96,flevopark_1_audio1_2021-12-03_05-00-00_(3),2021-12-03 05:00:00+00:00,2021-12-03 07:23:09+00:00,flevopark_1_,-5704201.5
97,flevopark_1_audio1_2021-12-03_16-00-00_(5),2021-12-03 16:00:00+00:00,2021-12-03 18:23:09+00:00,flevopark_1_,-5743801.5
98,flevopark_1_audio1_2021-12-03_20-46-20_(7),2021-12-03 20:46:20+00:00,2021-12-03 22:00:00+00:00,flevopark_1_,-5758897.0
99,flevopark_1_audio1_2021-12-03_18-23-10_(6),2021-12-03 18:23:10+00:00,2021-12-03 20:46:19+00:00,flevopark_1_,-5752391.5
100,flevopark_1_audio1_2021-12-04_07-23-10_(9),2021-12-04 07:23:10+00:00,2021-12-04 09:00:00+00:00,flevopark_1_,-5797802.0
101,flevopark_1_audio1_2021-12-04_05-00-00_(8),2021-12-04 05:00:00+00:00,2021-12-04 07:23:09+00:00,flevopark_1_,-5790601.5
102,flevopark_1_audio1_2021-12-04_16-00-00_(10),2021-12-04 16:00:00+00:00,2021-12-04 18:23:09+00:00,flevopark_1_,-5830201.5
103,flevopark_1_audio1_2021-12-04_20-46-20_(12),2021-12-04 20:46:20+00:00,2021-12-04 22:00:00+00:00,flevopark_1_,-5845297.0
104,flevopark_1_audio1_2021-12-04_18-23-10_(11),2021-12-04 18:23:10+00:00,2021-12-04 20:46:19+00:00,flevopark_1_,-5838791.5
105,flevopark_1_audio1_2021-12-05_07-23-10_(14),2021-12-05 07:23:10+00:00,2021-12-05 09:00:00+00:00,flevopark_1_,-5884202.0
106,flevopark_1_audio1_2021-12-05_05-00-00_(13),2021-12-05 05:00:00+00:00,2021-12-05 07:23:09+00:00,flevopark_1_,-5877001.5
107,flevopark_1_audio1_2021-12-05_16-00-00_(15),2021-12-05 16:00:00+00:00,2021-12-05 18:23:09+00:00,flevopark_1_,-5916601.5
108,flevopark_1_audio1_2021-12-05_20-46-20_(17),2021-12-05 20:46:20+00:00,2021-12-05 22:00:00+00:00,flevopark_1_,-5931697.0
109,flevopark_1_audio1_2021-12-05_18-23-10_(16),2021-12-05 18:23:10+00:00,2021-12-05 20:46:19+00:00,flevopark_1_,-5925191.5
110,flevopark_1_audio1_2021-12-06_05-00-00_(18),2021-12-06 05:00:00+00:00,2021-12-06 07:23:09+00:00,flevopark_1_,-5963401.5
111,flevopark_11_audio1_2021-09-16_11-39-28_(32),2021-09-16 11:39:28+00:00,2021-09-16 14:02:37+00:00,flevopark_11_,118242.5
112,flevopark_11_audio1_2021-12-07_16-00-00_(25),2021-12-07 16:00:00+00:00,2021-12-07 18:23:09+00:00,flevopark_11_,-486359.5
113,flevopark_11_audio1_2021-09-16_11-39-28_(31),2021-09-16 11:39:28+00:00,2021-09-16 14:02:37+00:00,flevopark_11_,118242.5
114,flevopark_11_audio1_2021-09-16_16-25-48_(35),2021-09-16 16:25:48+00:00,2021-09-16 18:48:57+00:00,flevopark_11_,101062.5
115,flevopark_11_audio1_2021-09-16_16-25-48_(36),2021-09-16 16:25:48+00:00,2021-09-16 18:48:57+00:00,flevopark_11_,101062.5
116,flevopark_11_audio1_2021-09-16_23-35-18_(42),2021-09-16 23:35:18+00:00,2021-09-17 00:00:00+00:00,flevopark_11_,78846.0
117,flevopark_11_audio1_2021-09-16_21-12-08_(39),2021-09-16 21:12:08+00:00,2021-09-16 23:35:17+00:00,flevopark_11_,83882.5
118,flevopark_11_audio1_2021-09-17_02-23-11_(45),2021-09-17 02:23:11+00:00,2021-09-17 04:46:20+00:00,flevopark_11_,65219.5
119,flevopark_11_audio1_2021-09-17_07-09-31_(48),2021-09-17 07:09:31+00:00,2021-09-17 09:32:40+00:00,flevopark_11_,48039.5
120,flevopark_11_audio1_2021-09-17_02-23-11_(46),2021-09-17 02:23:11+00:00,2021-09-17 04:46:20+00:00,flevopark_11_,65219.5
121,flevopark_11_audio1_2021-09-17_23-51-41_(55),2021-09-17 23:51:41+00:00,2021-09-18 00:00:00+00:00,flevopark_11_,-3559.5
122,flevopark_11_audio1_2021-09-17_09-32-41_(49),2021-09-17 09:32:41+00:00,2021-09-17 11:55:50+00:00,flevopark_11_,39449.5
123,flevopark_11_audio1_2021-09-21_00-00-00_(60),2021-09-21 00:00:00+00:00,2021-09-21 00:08:10+00:00,flevopark_11_,-245133.0
124,flevopark_11_audio1_2021-09-22_00-00-00_(61),2021-09-22 00:00:00+00:00,2021-09-22 00:07:32+00:00,flevopark_11_,-331514.0
125,flevopark_11_audio1_2021-09-25_00-00-00_(64),2021-09-25 00:00:00+00:00,2021-09-25 00:04:26+00:00,flevopark_11_,137798.0
126,flevopark_11_audio1_2021-09-28_00-00-00_(67),2021-09-28 00:00:00+00:00,2021-09-28 00:01:31+00:00,flevopark_11_,-59356.5
127,flevopark_11_audio1_2021-09-18_02-23-12_(57),2021-09-18 02:23:12+00:00,2021-09-18 03:04:51+00:00,flevopark_11_,4470.5
128,flevopark_11_audio1_2021-09-17_19-05-21_(53),2021-09-17 19:05:21+00:00,2021-09-17 21:28:30+00:00,flevopark_11_,5089.5
129,flevopark_11_audio1_2021-09-18_00-00-02_(56),2021-09-18 00:00:02+00:00,2021-09-18 02:23:11+00:00,flevopark_11_,-8105.5
130,flevopark_11_audio1_2021-09-26_00-00-00_(65),2021-09-26 00:00:00+00:00,2021-09-26 00:03:44+00:00,flevopark_11_,51419.0
131,flevopark_11_audio1_2021-09-20_00-00-00_(59),2021-09-20 00:00:00+00:00,2021-09-20 00:11:57+00:00,flevopark_11_,-158846.5
132,flevopark_11_audio1_2021-12-02_20-46-20_(2),2021-12-02 20:46:20+00:00,2021-12-02 22:00:00+00:00,flevopark_11_,-69455.0
133,flevopark_11_audio1_2021-12-02_16-00-00_(0),2021-12-02 16:00:00+00:00,2021-12-02 18:23:09+00:00,flevopark_11_,-54359.5
134,flevopark_11_audio1_2021-12-04_05-00-00_(8),2021-12-04 05:00:00+00:00,2021-12-04 07:23:09+00:00,flevopark_11_,-187559.5
135,flevopark_11_audio1_2021-12-04_18-23-10_(11),2021-12-04 18:23:10+00:00,2021-12-04 20:46:19+00:00,flevopark_11_,-235749.5
136,flevopark_11_audio1_2021-12-04_20-46-20_(12),2021-12-04 20:46:20+00:00,2021-12-04 22:00:00+00:00,flevopark_11_,-242255.0
137,flevopark_11_audio1_2021-12-05_18-23-10_(16),2021-12-05 18:23:10+00:00,2021-12-05 20:46:19+00:00,flevopark_11_,-322149.5
138,flevopark_11_audio1_2021-12-06_18-23-10_(21),2021-12-06 18:23:10+00:00,2021-12-06 20:46:19+00:00,flevopark_11_,-408549.5
139,flevopark_11_audio1_2021-12-05_16-00-00_(15),2021-12-05 16:00:00+00:00,2021-12-05 18:23:09+00:00,flevopark_11_,-313559.5
140,flevopark_11_audio1_2021-12-06_07-23-10_(19),2021-12-06 07:23:10+00:00,2021-12-06 09:00:00+00:00,flevopark_11_,-367560.0
141,flevopark_11_audio1_2021-12-06_05-00-00_(18),2021-12-06 05:00:00+00:00,2021-12-06 07:23:09+00:00,flevopark_11_,-360359.5
142,flevopark_11_audio1_2021-12-08_16-00-00_(28),2021-12-08 16:00:00+00:00,2021-12-08 16:15:50+00:00,flevopark_11_,-568940.0
143,flevopark_11_audio1_2021-09-16_21-12-08_(40),2021-09-16 21:12:08+00:00,2021-09-16 23:35:17+00:00,flevopark_11_,83882.5
144,flevopark_11_audio1_2021-12-09_16-00-00_(1),2021-12-09 16:00:00+00:00,2021-12-09 16:00:00+00:00,flevopark_11_,-654865.0
145,flevopark_11_audio1_2021-12-09_20-46-20_(33),2021-12-09 20:46:20+00:00,2021-12-09 22:00:00+00:00,flevopark_11_,-674255.0
146,flevopark_11_audio1_2021-09-16_14-02-38_(33),2021-09-16 14:02:38+00:00,2021-09-16 16:25:47+00:00,flevopark_11_,109652.5
147,flevopark_11_audio1_2021-09-16_14-02-38_(34),2021-09-16 14:02:38+00:00,2021-09-16 16:25:47+00:00,flevopark_11_,109652.5
148,flevopark_11_audio1_2021-09-16_18-48-58_(38),2021-09-16 18:48:58+00:00,2021-09-16 21:12:07+00:00,flevopark_11_,92472.5
149,flevopark_11_audio1_2021-09-16_23-35-18_(41),2021-09-16 23:35:18+00:00,2021-09-17 00:00:00+00:00,flevopark_11_,78846.0
150,flevopark_11_audio1_2021-09-16_18-48-58_(37),2021-09-16 18:48:58+00:00,2021-09-16 21:12:07+00:00,flevopark_11_,92472.5
